DEBUG [2018-10-15 01:15:40] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 2084 
 	 [ServerAdmin : userquery]Training complete in 1.166879 real seconds 

DEBUG [2018-10-15 01:16:49] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 15064 
 	 [ServerAdmin : userquery]Training complete in 1.118010 real seconds 

DEBUG [2018-10-15 01:16:51] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 5664 
 	 [ServerAdmin : userquery]Training complete in 1.085097 real seconds 

DEBUG [2018-10-15 01:19:03] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 15856 
 	 [ServerAdmin : userquery]Training complete in 1.084097 real seconds 

DEBUG [2018-10-15 01:21:41] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 16356 
 	 [ServerAdmin : userquery]Training complete in 1.122997 real seconds 

DEBUG [2018-10-15 01:22:20] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 6472 
 	 [ServerAdmin : userquery]Training complete in 1.190816 real seconds 

DEBUG [2018-10-15 01:22:30] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 13868 
 	 [ServerAdmin : userquery]Training complete in 1.073115 real seconds 

DEBUG [2018-10-15 01:24:26] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 13680 
 	 [ServerAdmin : userquery]Training complete in 1.149925 real seconds 

DEBUG [2018-10-15 01:24:45] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 5960 
 	 [ServerAdmin : userquery]Training complete in 1.138953 real seconds 

DEBUG [2018-10-15 01:24:55] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 7676 
 	 [ServerAdmin : userquery]Training complete in 1.126985 real seconds 

DEBUG [2018-10-15 01:25:15] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 15052 
 	 [ServerAdmin : userquery]Training complete in 1.080114 real seconds 

DEBUG [2018-10-15 01:25:29] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 15376 
 	 [ServerAdmin : userquery]Training complete in 1.270603 real seconds 

DEBUG [2018-10-15 01:25:49] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 14064 
 	 [ServerAdmin : userquery]Training complete in 1.085099 real seconds 

DEBUG [2018-10-15 01:28:08] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10400 10072 
 	 [ServerAdmin : userquery]Training complete in 1.105045 real seconds 

