DEBUG [2018-10-17 05:31:23] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 16592 
 	 [OrderAPIView : orderquery]Training complete in 0.032911 real seconds 

DEBUG [2018-10-17 05:31:26] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 16416 
 	 [PublicAPIView : orderobjquery]Training complete in 0.006981 real seconds 

DEBUG [2018-10-17 05:32:01] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 12528 
 	 [PublicAPIView : orderobconfirm]Training complete in 0.011958 real seconds 

DEBUG [2018-10-17 05:32:32] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 15116 
 	 [OrderAPIView : orderquery]Training complete in 0.007021 real seconds 

DEBUG [2018-10-17 05:32:32] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 11808 
 	 [OrderAPIView : orderquery]Training complete in 0.008981 real seconds 

DEBUG [2018-10-17 05:32:34] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 1532 
 	 [OrderAPIView : orderquery]Training complete in 0.024887 real seconds 

DEBUG [2018-10-17 05:32:58] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 932 
 	 [PublicAPIView : orderobjquery]Training complete in 0.007973 real seconds 

DEBUG [2018-10-17 05:33:01] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 10480 
 	 [PublicAPIView : orderobconfirm]Training complete in 0.017948 real seconds 

DEBUG [2018-10-17 05:34:32] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 12492 14752 
 	 [PublicAPIView : orderobjquery]Training complete in 0.012965 real seconds 

DEBUG [2018-10-17 05:38:34] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 7804 4764 
 	 [OrderAPIView : orderquery]Training complete in 0.026932 real seconds 

DEBUG [2018-10-17 05:38:39] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 7804 14384 
 	 [PublicAPIView : orderobjquery]Training complete in 0.010967 real seconds 

DEBUG [2018-10-17 05:38:54] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 9244 19440 
 	 [PublicAPIView : orderobconfirm]Training complete in 0.029919 real seconds 

DEBUG [2018-10-17 05:39:39] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 9244 18504 
 	 [PublicAPIView : orderobjquery]Training complete in 0.005008 real seconds 

DEBUG [2018-10-17 05:39:42] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 9244 17400 
 	 [PublicAPIView : orderobconfirm]Training complete in 0.045829 real seconds 

DEBUG [2018-10-17 05:40:44] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 9244 17604 
 	 [PublicAPIView : orderobjquery]Training complete in 0.003989 real seconds 

DEBUG [2018-10-17 05:40:51] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 9244 18056 
 	 [PublicAPIView : orderobconfirm]Training complete in 0.036927 real seconds 

DEBUG [2018-10-17 05:41:09] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 9244 15748 
 	 [OrderAPIView : orderquery]Training complete in 0.011966 real seconds 

DEBUG [2018-10-17 05:41:09] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 9244 19256 
