DEBUG [2018-10-14 15:18:47] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11544 12688 
 	 [ServerAdmin : tgbzquery]Training complete in 1.048236 real seconds 

DEBUG [2018-10-14 15:19:18] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11544 304 
 	 [ServerAdmin : tgbzquery]Training complete in 1.036230 real seconds 

DEBUG [2018-10-14 15:20:10] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10288 14124 
 	 [ServerAdmin : tgbzquery]Training complete in 1.051187 real seconds 

DEBUG [2018-10-14 15:40:49] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10288 6184 
 	 [ServerAdmin : tgbzquery]Training complete in 1.039222 real seconds 

DEBUG [2018-10-14 15:40:55] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10288 11616 
 	 [ServerAdmin : tgbzquery]Training complete in 1.012295 real seconds 

DEBUG [2018-10-14 15:41:16] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10288 7824 
 	 [ServerAdmin : tgbzquery]Training complete in 1.015285 real seconds 

DEBUG [2018-10-14 15:41:18] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 10288 10684 
 	 [ServerAdmin : tgbzquery]Training complete in 1.012337 real seconds 

DEBUG [2018-10-14 15:42:39] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 10580 
 	 [ServerAdmin : tgbzquery]Training complete in 1.079161 real seconds 

DEBUG [2018-10-14 15:45:18] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 4984 
 	 [ServerAdmin : tgbzquery]Training complete in 1.020268 real seconds 

DEBUG [2018-10-14 15:45:34] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 10720 
 	 [ServerAdmin : tgbzquery]Training complete in 1.040262 real seconds 

DEBUG [2018-10-14 15:46:02] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 6468 
 	 [ServerAdmin : tgbzquery]Training complete in 1.033237 real seconds 

DEBUG [2018-10-14 15:46:06] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 4928 
 	 [ServerAdmin : tgbzquery]Training complete in 1.039224 real seconds 

DEBUG [2018-10-14 15:46:23] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 9252 
 	 [ServerAdmin : tgbzquery]Training complete in 1.013291 real seconds 

DEBUG [2018-10-14 15:46:27] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 10632 
 	 [ServerAdmin : tgbzquery]Training complete in 1.036230 real seconds 

DEBUG [2018-10-14 15:47:41] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 6512 
 	 [ServerAdmin : tgbzquery]Training complete in 1.033237 real seconds 

DEBUG [2018-10-14 15:47:48] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 6672 5712 
 	 [ServerAdmin : tgbzquery]Training complete in 1.040256 real seconds 

DEBUG [2018-10-14 15:48:19] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13256 10880 
 	 [ServerAdmin : tgbzquery]Training complete in 1.042215 real seconds 

DEBUG [2018-10-14 15:50:35] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13256 7348 
 	 [ServerAdmin : tgbzquery]Training complete in 1.046243 real seconds 

DEBUG [2018-10-14 15:50:41] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13256 4912 
 	 [ServerAdmin : tgbzquery]Training complete in 1.037228 real seconds 

